doc1,doc2,pairName,source,mapping notes
F5SXURFA,VM7EP4IA,"F5SXURFA,VM7EP4IA",problemMap,FROM Enable people to receive advice from others on the Internet TO Enable community members to build on other (good) ideas within the community
F96H6I58,GPBS8H6W,"F96H6I58,GPBS8H6W",problemMap,FROM Obtain data from online crowds TO Obtain self-report estimates from crowd participants
F96H6I58,MXXBE2S3,"F96H6I58,MXXBE2S3",schema,motivate people to do things that are annoying to do
F96H6I58,SMZ5P2JC,"F96H6I58,SMZ5P2JC",problemMap,FROM Accelerate scientific discovery TO Increase innovation
F96H6I58,UQ4WC79E,"F96H6I58,UQ4WC79E",problemMap,FROM Identify which available tasks are most appropriate to a given worker's abilities TO Enable community members to build on other (good) ideas within the community
F96H6I58,VM7EP4IA,"F96H6I58,VM7EP4IA",problemMap,FROM Enable people to receive advice from others on the Internet TO Enable community members to build on other (good) ideas within the community
F96H6I58,XSJ9KCBQ,"F96H6I58,XSJ9KCBQ",problemMap,FROM motivate people to do things that are annoying to do
FQVMU8GU,GPBS8H6W,"FQVMU8GU,GPBS8H6W",problemMap,FROM Obtain data from online crowds TO Obtain self-report estimates from crowd participants
FQVMU8GU,H3HIEFKV,"FQVMU8GU,H3HIEFKV",problemMap,FROM Collect schemas from novices in a scalable way TO Distributed process for eliciting constraints about a problem
FQVMU8GU,NINP5I8I,"FQVMU8GU,NINP5I8I",problemMap,FROM Increase analogical innovation TO Enable community members to build on other (good) ideas within the community
FQVMU8GU,SMZ5P2JC,"FQVMU8GU,SMZ5P2JC",problemMap,FROM Accelerate scientific discovery TO Increase innovation
FQVMU8GU,XGBBFQWX,"FQVMU8GU,XGBBFQWX",problemMap,FROM Create a domain-independent model TO Maximum creativity if use abstracted problem schema and concrete constraints
GCGB74CJ,GPBS8H6W,"GCGB74CJ,GPBS8H6W",problemMap,FROM Obtain data from online crowds TO Obtain self-report estimates from crowd participants
GCGB74CJ,SMZ5P2JC,"GCGB74CJ,SMZ5P2JC",problemMap,FROM Accelerate scientific discovery TO Increase innovation
GCGB74CJ,UQ4WC79E,"GCGB74CJ,UQ4WC79E",problemMap,"FROM Identify remote domains of possibly relevant expertise (e.g., origami folding) TO Identify which available tasks are most appropriate to a given worker's abilities"
GPBS8H6W,HTFNIQDD,"GPBS8H6W,HTFNIQDD",problemMap,FROM Obtain data from online crowds TO Obtain self-report estimates from crowd participants
GPBS8H6W,KF3CZPHV,"GPBS8H6W,KF3CZPHV",problemMap,FROM Use web visitation and social media patterns TO Measure human behavior
GPBS8H6W,NINP5I8I,"GPBS8H6W,NINP5I8I",problemMap,FROM Obtain data from online crowds TO Obtain self-report estimates from crowd participants
GPBS8H6W,SMZ5P2JC,"GPBS8H6W,SMZ5P2JC",problemMap,FROM Ensure content quality TO Improve design work
GPBS8H6W,T4S3K5ZT,"GPBS8H6W,T4S3K5ZT",problemMap,FROM Obtain data from online crowds TO Obtain self-report estimates from crowd participants
GPBS8H6W,T8P7HT8E,"GPBS8H6W,T8P7HT8E",problemMap,"FROM Allow Wikipedia-like collaborative editing on questions and answers TO Provide timely, affordable feedback to designers"
GPBS8H6W,VM7EP4IA,"GPBS8H6W,VM7EP4IA",problemMap,"FROM Enable people to receive advice from others on the Internet TO Provide timely, affordable feedback to designers"
GPBS8H6W,XGBBFQWX,"GPBS8H6W,XGBBFQWX",problemMap,"FROM Enable service providers to track how changes to the design of their sites influences users' self-disclosure TO Provide timely, affordable feedback to designers"
GPBS8H6W,Z56T9MF4,"GPBS8H6W,Z56T9MF4",problemMap,FROM Obtain data from online crowds TO Obtain self-report estimates from crowd participants
H3HIEFKV,NINP5I8I,"H3HIEFKV,NINP5I8I",problemMap,FROM Leverage schemas other novices have produced as they learn about a domain TO Enable community members to build on other (good) ideas within the community
H3HIEFKV,T4S3K5ZT,"H3HIEFKV,T4S3K5ZT",problemMap,FROM Provide structured interface to capture information about dimensions of importance TO Collect feedback in structured micro-tasks that focus on specific aspects of the design
H3HIEFKV,Z56T9MF4,"H3HIEFKV,Z56T9MF4",problemMap,FROM Provide structured interface to capture information about dimensions of importance TO Collect feedback in structured micro-tasks that focus on specific aspects of the design
HTFNIQDD,SMZ5P2JC,"HTFNIQDD,SMZ5P2JC",problemMap,FROM Ensure content quality TO Improve design work
HTFNIQDD,T8P7HT8E,"HTFNIQDD,T8P7HT8E",problemMap,FROM Ensure content quality TO Improve design work
J7SB3TH5,XGBBFQWX,"J7SB3TH5,XGBBFQWX",problemMap,FROM Help users better manage their content TO Avoid posting personal information
KF3CZPHV,XGBBFQWX,"KF3CZPHV,XGBBFQWX",problemMap,FROM Use web visitation and social media patterns TO Measure human behavior
MXXBE2S3,SMZ5P2JC,"MXXBE2S3,SMZ5P2JC",problemMap,FROM motivate people to do things that are annoying to do
MXXBE2S3,XSJ9KCBQ,"MXXBE2S3,XSJ9KCBQ",problemMap,FROM motivate people to do things that are annoying to do
NINP5I8I,SMZ5P2JC,"NINP5I8I,SMZ5P2JC",problemMap,FROM Accelerate scientific discovery TO Increase innovation
NINP5I8I,UQ4WC79E,"NINP5I8I,UQ4WC79E",problemMap,FROM Identify which available tasks are most appropriate to a given worker's abilities TO Enable community members to build on other (good) ideas within the community
NINP5I8I,VM7EP4IA,"NINP5I8I,VM7EP4IA",problemMap,FROM Enable people to receive advice from others on the Internet TO Enable community members to build on other (good) ideas within the community
NX42RPT2,T9IJMSRB,"NX42RPT2,T9IJMSRB",problemMap,FROM Form effective teams TO Opportunistically group users with another to exchange information
SMZ5P2JC,T4S3K5ZT,"SMZ5P2JC,T4S3K5ZT",problemMap,FROM Ensure content quality TO Improve design work
SMZ5P2JC,UQ4WC79E,"SMZ5P2JC,UQ4WC79E",problemMap,FROM Increase accessibility to scientific software TO Broaden participation in crowdsourcing
SMZ5P2JC,XSJ9KCBQ,"SMZ5P2JC,XSJ9KCBQ",schema,motivate people to do things that are annoying to do
SMZ5P2JC,Z56T9MF4,"SMZ5P2JC,Z56T9MF4",problemMap,FROM Ensure content quality TO Improve design work
T4S3K5ZT,T8P7HT8E,"T4S3K5ZT,T8P7HT8E",problemMap,"FROM Allow Wikipedia-like collaborative editing on questions and answers TO Provide timely, affordable feedback to designers"
T4S3K5ZT,VM7EP4IA,"T4S3K5ZT,VM7EP4IA",problemMap,"FROM Enable people to receive advice from others on the Internet TO Provide timely, affordable feedback to designers"
T4S3K5ZT,XGBBFQWX,"T4S3K5ZT,XGBBFQWX",problemMap,"FROM Enable service providers to track how changes to the design of their sites influences users' self-disclosure TO Provide timely, affordable feedback to designers"
T8P7HT8E,VM7EP4IA,"T8P7HT8E,VM7EP4IA",schema,make predictions (about people) with limited information
T8P7HT8E,XSJ9KCBQ,"T8P7HT8E,XSJ9KCBQ",problemMap,FROM Improve user contributions for smaller PSSs TO Ensure content quality
T8P7HT8E,Z56T9MF4,"T8P7HT8E,Z56T9MF4",problemMap,"FROM Allow Wikipedia-like collaborative editing on questions and answers TO Provide timely, affordable feedback to designers"
T9IJMSRB,VM7EP4IA,"T9IJMSRB,VM7EP4IA",problemMap,FROM People may not always trust advice from anonymous others TO Crowdsourcing assignments are typically short-lived but people need time to build trust
VM7EP4IA,Z56T9MF4,"VM7EP4IA,Z56T9MF4",problemMap,"FROM Enable people to receive advice from others on the Internet TO Provide timely, affordable feedback to designers"
XGBBFQWX,Z56T9MF4,"XGBBFQWX,Z56T9MF4",problemMap,"FROM Enable service providers to track how changes to the design of their sites influences users' self-disclosure TO Provide timely, affordable feedback to designers"
2017_1,6UGSWD8D,"2017_1,6UGSWD8D",glove_check,nice mapping here: changing the source of the practice influences whether/how it is imitated/adapted
2017_10,T9IJMSRB,"2017_10,T9IJMSRB",glove_check,"not a replication, but very close - it's about group composition and how it influences performance"
2017_11,T9IJMSRB,"2017_11,T9IJMSRB",glove_check,"almost the same paper, both share the ""improve team performance by optimizing group composition"" schema"
2017_8,356QDHJ7,"2017_8,356QDHJ7",glove_check,high-level crowdsourcing schema: improve [make better/faster] work by distributing work to many people and combining into result
2017_8,56QUJEMP,"2017_8,56QUJEMP",glove_check,high-level crowdsourcing schema: improve [make better/faster] work by distributing work to many people and combining into result
2017_8,GCGB74CJ,"2017_8,GCGB74CJ",glove_check,"classic near analogy
schema = [improve innovation by improving divergence by facilitating reuse of data]"
2017_8,HTFNIQDD,"2017_8,HTFNIQDD",glove_check,high-level crowdsourcing schema: improve [make better/faster] work by distributing work to many people and combining into result
2017_8,T4S3K5ZT,"2017_8,T4S3K5ZT",glove_check,high-level crowdsourcing schema: improve [make better/faster] work by distributing work to many people and combining into result
2017_8,T8P7HT8E,"2017_8,T8P7HT8E",glove_check,interesting high-level schema: [incentivize people to interact with the work of others in particular ways]
2017_9,9895DC6Q,"2017_9,9895DC6Q",glove_check,"interesting schema: change judgment [quality, decision-making about risk] by modifying relationship of judger to judged [decentralized -> guild, mediated vs. not]. could see the second paper at least providing some theoretically relevant explanations/mechanisms for crowd certification"
2017_9,CDAJEXM8,"2017_9,CDAJEXM8",glove_check,"interesting schema: change judgment [quality, decision-making about risk] by modifying relationship of judger to judged [decentralized -> guild, mediated vs. not]. could see the second paper at least providing some theoretically relevant explanations/mechanisms for crowd certification"
356QDHJ7,T4S3K5ZT,"356QDHJ7,T4S3K5ZT",glove_check,classic near analogy: [create scaffolded interfaces/worklows that enable crowdsourced data analysis]
5G8U33QZ,GPBS8H6W,"5G8U33QZ,GPBS8H6W",glove_check,"nice: use novel trace data and crowdsourcing to model human behavior [cheating, distribution of attention]"
9T2T3NWW,QVXBKCSS,"9T2T3NWW,QVXBKCSS",glove_check,classic near analogy: improve work quality and encourage contributions/engagement with feedback from others
DW9W8Z9I,HTFNIQDD,"DW9W8Z9I,HTFNIQDD",glove_check,"schema: scaffold expertise from novice [analysts, feedback-providers] to improve the quality of their [categories, feedback]"
DW9W8Z9I,NX42RPT2,"DW9W8Z9I,NX42RPT2",glove_check,"schema = [improve ability to detect groupings [of items, data] by using appropriate contexts"
KF3CZPHV,NINP5I8I,"KF3CZPHV,NINP5I8I",glove_check,"match on: predict [article types, idea sucess] using a machine learning model [e.g., topic modeling] trained on related web traces"
